Location,Soil Type,Rainfall,Area_Cultivated,Production,Crop_Type,Price_per_unit,Investment
Delhi,Loam,600,100,1500,Wheat,1800,75000
Mumbai,Clay,1200,200,1800,Rice,2500,90000
Chennai,Sandy,800,150,1200,Millets,1200,60000
Kolkata,Silt,1100,180,2000,Jute,3500,80000
Bengaluru,Loam,900,120,900,Maize,1400,65000
Hyderabad,Sandy,700,130,1000,Cotton,3000,75000
Pune,Clay,1000,160,1400,Sugarcane,2000,95000
Ahmedabad,Silt,800,110,1000,Groundnut,1800,70000
Jaipur,Loam,700,100,1200,Barley,1500,60000
Lucknow,Sandy,850,190,1600,Wheat,1700,80000
Bhopal,Clay,950,180,1700,Soybean,2200,85000
Patna,Silt,1100,210,1800,Rice,2600,90000
Bhubaneswar,Loam,900,140,1000,Maize,1300,70000
Raipur,Sandy,800,170,1200,Millets,1100,65000
Chandigarh,Clay,950,200,1500,Wheat,1900,80000
Dehradun,Silt,1200,230,1800,Rice,2400,90000
Kochi,Loam,1000,120,800,Coconut,3500,85000
Indore,Sandy,850,140,1100,Soybean,2000,75000
Shimla,Clay,700,90,1000,Apple,2800,70000
Guwahati,Silt,1100,180,1500,Tea,4000,95000
Jammu,Loam,800,130,1100,Grapes,3200,80000
Ranchi,Sandy,900,170,1200,Corn,1400,70000
Thiruvananthapuram,Clay,1200,150,1000,Rubber,4500,90000
Agartala,Silt,950,200,1800,Pineapple,1800,85000
Aizawl,Loam,1000,100,800,Banana,2500,75000
Kohima,Sandy,700,120,900,Potato,1200,70000
Itanagar,Clay,850,140,1300,Orange,2800,80000
Imphal,Silt,1100,180,1700,Rice,2400,95000
Gandhinagar,Loam,800,110,1000,Cotton,1800,70000
Panaji,Sandy,950,120,1100,Cashew,2200,85000
Dispur,Clay,1200,160,1400,Tea,3800,90000
Srinagar,Silt,1000,200,1600,Apple,3000,80000
Chennai,Loam,900,110,900,Mango,2000,75000
Jaipur,Sandy,700,130,1000,Wheat,1700,70000
Mumbai,Clay,1100,180,1500,Rice,2500,85000
Kolkata,Silt,800,120,1300,Jute,3200,90000
Bengaluru,Loam,950,140,1000,Sugarcane,1800,75000
Hyderabad,Sandy,1200,170,1800,Cotton,3000,80000
Pune,Clay,900,190,1600,Groundnut,2200,85000
Ahmedabad,Silt,700,120,1100,Barley,1400,70000
Lucknow,Loam,850,150,1200,Wheat,1700,75000
Bhopal,Sandy,1100,180,1400,Soybean,2000,90000
Patna,Clay,800,130,1100,Rice,2600,95000
Bhubaneswar,Silt,950,160,1200,Maize,1400,70000
Raipur,Loam,1200,190,1800,Millets,1300,80000
Chandigarh,Sandy,900,120,1000,Wheat,1900,85000
Dehradun,Clay,700,150,1200,Rice,2400,90000
Kochi,Silt,850,180,1500,Coconut,3500,75000
Indore,Loam,1100,110,800,Soybean,2200,70000
Shimla,Sandy,800,130,1200,Apple,2800,80000
Guwahati,Clay,950,160,1100,Tea,4000,85000
Jammu,Silt,1200,190,1700,Grapes,3200,90000
Ranchi,Loam,900,120,1000,Corn,1400,75000
Thiruvananthapuram,Sandy,850,150,1200,Rubber,4500,80000
Agartala,Clay,1100,180,1600,Pineapple,1800,85000
Aizawl,Silt,800,130,1000,Banana,2500,70000
Kohima,Loam,950,160,1300,Potato,1200,75000
Itanagar,Sandy,1200,190,1800,Orange,2800,90000
Imphal,Clay,900,120,1000,Rice,2400,85000
Gandhinagar,Silt,850,150,1200,Cotton,1800,70000
Panaji,Loam,1100,180,1500,Cashew,2200,80000
Dispur,Sandy,900,110,1100,Tea,3800,85000
Srinagar,Clay,1200,140,1000,Apple,3000,75000
Mysore,Loam,800,120,950,Barley,1600,72000
Ahmednagar,Clay,950,210,1700,Onion,2200,80000
Kochi,Sandy,1100,180,1900,Pepper,3500,88000
Chandigarh,Silt,700,150,1300,Wheat,1700,62000
Bhopal,Loam,1000,190,1600,Rice,2600,84000
Ranchi,Sandy,850,110,800,Tea,4000,95000
Lucknow,Clay,1200,200,1800,Chickpeas,1800,73000
Indore,Silt,800,160,1500,Soybean,2300,78000
Jaipur,Loam,900,130,1100,Barley,1500,67000
Mumbai,Clay,1100,180,1600,Coconut,2800,82000
Patna,Sandy,950,140,1100,Corn,1500,74000
Chennai,Silt,1100,190,1800,Tea,3900,93000
Bengaluru,Loam,900,130,950,Groundnut,1700,71000
Kolkata,Clay,700,150,1200,Apple,2600,86000
Hyderabad,Sandy,1200,200,1700,Cotton,3100,90000
Pune,Silt,850,110,1000,Strawberry,2100,79000
Delhi,Loam,600,120,1100,Wheat,1500,65000
Ahmedabad,Clay,950,200,1900,Rice,2700,87000
Mysore,Sandy,1100,180,1700,Coconut,3000,83000
Chandigarh,Silt,700,160,1300,Wheat,1700,70000
Bhopal,Loam,1000,220,2000,Cotton,3200,95000
Ranchi,Sandy,850,120,1000,Mango,2600,81000
Lucknow,Clay,1200,210,1800,Potato,1600,74000
Indore,Silt,800,150,1500,Soybean,2200,78000
Jaipur,Loam,900,140,1000,Barley,1400,67000
Mumbai,Clay,1100,190,1600,Coconut,2800,81000
Patna,Sandy,950,160,1200,Corn,1500,72000
Chennai,Silt,1100,200,1800,Tea,3900,92000
Bengaluru,Loam,900,120,900,Groundnut,1700,70000
Kolkata,Clay,700,130,1100,Apple,2600,85000
Hyderabad,Sandy,1200,220,2000,Cotton,3200,96000
Pune,Silt,850,110,1000,Strawberry,2100,79000
Delhi,Loam,600,130,1200,Wheat,1500,66000
Ahmedabad,Clay,950,210,1900,Rice,2700,88000
Mysore,Sandy,1100,180,1700,Coconut,3000,84000
Chandigarh,Silt,700,150,1300,Wheat,1700,71000
Bhopal,Loam,1000,220,2000,Cotton,3200,94000
Ranchi,Sandy,850,120,1000,Mango,2600,82000
Lucknow,Clay,1200,210,1800,Potato,1600,73000
Indore,Silt,800,150,1500,Soybean,2200,79000
Jaipur,Loam,900,140,1000,Barley,1400,68000
Bangalore,Loam,950,130,1200,Wheat,1700,71000
Ahmedabad,Clay,700,150,1300,Rice,2400,80000
Chennai,Sandy,1100,190,1800,Millets,1200,64000
Kolkata,Silt,1200,160,1500,Jute,3400,83000
Hyderabad,Loam,900,110,1000,Barley,1300,67000
Mumbai,Sandy,700,170,1600,Cotton,2800,74000
Delhi,Clay,800,120,900,Sugarcane,2100,78000
Jaipur,Silt,1000,130,1300,Groundnut,1900,82000
Pune,Loam,850,180,1700,Maize,2200,91000
Bhopal,Clay,1100,150,1200,Wheat,2600,93000
Chandigarh,Sandy,1200,140,1300,Rice,3500,84000
Lucknow,Silt,900,210,2000,Tea,4100,97000
Indore,Loam,800,130,1100,Cotton,2500,72000
Ranchi,Sandy,1000,170,1800,Soybean,2300,79000
Thiruvananthapuram,Clay,950,150,1000,Wheat,1900,84000
Patna,Silt,700,190,1700,Rice,3100,86000
Mysore,Sandy,1100,110,1100,Maize,1300,71000
Bengaluru,Loam,850,130,1300,Millets,1600,78000
Ahmedabad,Clay,1200,170,1800,Sugarcane,2400,85000
Chennai,Sandy,800,190,1700,Jute,3200,92000
Kolkata,Silt,700,160,1500,Barley,3500,86000
Hyderabad,Loam,1100,120,1000,Cotton,1800,79000
Mumbai,Sandy,950,200,1800,Maize,2200,93000
Delhi,Clay,1200,210,2000,Rice,3800,97000
Jaipur,Silt,900,130,1300,Tea,4000,79000
Pune,Loam,850,190,1700,Cotton,2200,84000
Bhopal,Clay,1100,150,1200,Wheat,2600,90000
Chandigarh,Sandy,1200,140,1300,Rice,3500,81000
Lucknow,Silt,900,210,2000,Tea,4100,95000
Indore,Loam,800,130,1100,Cotton,2500,74000
Ranchi,Sandy,1000,170,1800,Soybean,2300,81000
Thiruvananthapuram,Clay,950,150,1000,Wheat,1900,83000
Patna,Silt,700,190,1700,Rice,3100,85000
Mysore,Sandy,1100,110,1100,Maize,1300,73000
Bengaluru,Loam,850,130,1300,Millets,1600,76000
Ahmedabad,Clay,1200,170,1800,Sugarcane,2400,84000
Chennai,Sandy,800,190,1700,Jute,3200,91000
Kolkata,Silt,700,160,1500,Barley,3500,85000
Hyderabad,Loam,1100,120,1000,Cotton,1800,78000
Mumbai,Sandy,950,200,1800,Maize,2200,92000
Delhi,Clay,1200,210,2000,Rice,3800,96000
Jaipur,Silt,900,130,1300,Tea,4000,80000
Pune,Loam,850,190,1700,Cotton,2200,85000
Bhopal,Clay,1100,150,1200,Wheat,2600,92000
Chandigarh,Sandy,1200,140,1300,Rice,3500,83000
Lucknow,Silt,900,210,2000,Tea,4100,97000
Indore,Loam,800,130,1100,Cotton,2500,74000
Ranchi,Sandy,1000,170,1800,Soybean,2300,80000
